passage,lineage,rep,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
Five,C,One,10008,5877,Pos,Insertion_forward,14268,0,0,0,0,1,0.000597015,0,0.711860305
Five,C,One,10054,6884,Pos,Insertion_forward,13307,0,0,0,0,1,0.000637349,0,0.711860305
Five,C,One,10072,5892,Pos,Insertion_forward,14317,0,0,0,0,1,0.000959693,0,0.711860305
Five,C,One,10072,687,Pos,Insertion_forward,19522,0,0,0,0,1,0.000959693,0,0.711860305
Five,C,One,10073,1975,Pos,Insertion_forward,18235,0,0,0,0,1,0.00116144,0,0.711860305
Five,C,One,1024,791,Pos,Insertion_forward,10370,0,0,0,0,1,0.00204499,0,0.711860305
Five,C,One,1072,4496,Pos,Deletion_forward,6713,0,0,0,0,1,0.004201681,0,0.711860305
Five,C,One,1111,181,Pos,Insertion_forward,11067,0,0,0,0,1,0.001449275,0,0.711860305
Five,C,One,1198,663,Pos,Insertion_forward,10672,0,0,0,0,1,0.000977517,0,0.711860305
Five,C,One,122,7090,Pos,Deletion_forward,3169,0,0,0,0,1,0.000535619,0,0.711860305
Five,C,One,1268,4864,Pos,Deletion_forward,6541,0,0,0,0,1,0.00101833,0,0.711860305
Five,C,One,126,6225,Pos,Deletion_forward,4038,0,0,0,0,1,0.000637349,0,0.711860305
Five,C,One,1287,3734,Pos,Deletion_forward,7690,0,0,0,0,1,0.00101626,0,0.711860305
Five,C,One,1340,7996,Pos,Deletion_forward,3481,0,0,0,0,1,0.001191895,0,0.711860305
Five,C,One,1344,7342,Pos,Deletion_forward,4139,0,0,0,0,1,0.001283697,0,0.711860305
Five,C,One,1361,6881,Pos,Deletion_forward,4617,0,0,0,0,1,0.001410437,0,0.711860305
Five,C,One,1432,7549,Pos,Deletion_forward,4020,0,0,0,0,1,0.001706485,0,0.711860305
Five,C,One,1473,2910,Pos,Deletion_forward,8700,0,0,0,0,1,0.001362398,0,0.711860305
Five,C,One,1509,1987,Pos,Deletion_forward,9659,0,0,0,0,1,0.001298701,0,0.711860305
