passage,lineage,rep,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
Five,C,One,10002,9165,Pos,Insertion_forward,10975,0,0,0,0,1,0.000589275,0,0.611516071
Five,C,One,1000,8244,Pos,Deletion_forward,2894,0,0,0,0,1,0.001497006,0,0.611516071
Five,C,One,10057,1510,Pos,Insertion_forward,18685,0,0,0,0,1,0.00068918,0,0.611516071
Five,C,One,10067,3692,Pos,Insertion_forward,16513,0,0,0,0,1,0.000830565,0,0.611516071
Five,C,One,10068,695,Pos,Insertion_forward,19511,0,0,0,0,1,0.000856164,0,0.611516071
Five,C,One,10072,7351,Pos,Insertion_forward,12859,0,0,0,0,1,0.001164144,0,0.611516071
Five,C,One,10073,1664,Pos,Insertion_forward,18547,0,0,0,0,1,0.001272265,0,0.611516071
Five,C,One,10073,7217,Pos,Insertion_forward,12994,0,0,0,0,1,0.001272265,0,0.611516071
Five,C,One,10078,7387,Pos,Insertion_forward,12829,0,0,0,0,1,0.00204499,0,0.611516071
Five,C,One,10082,4654,Pos,Insertion_forward,15566,0,0,0,0,1,0.002257336,0,0.611516071
Five,C,One,10135,6683,Pos,Insertion_forward,13590,0,0,0,0,1,0.020408163,0,0.611516071
Five,C,One,1060,2038,Pos,Deletion_forward,9160,0,0,0,0,1,0.00257732,0,0.611516071
Five,C,One,1100,350,Pos,Insertion_forward,10888,0,0,0,0,1,0.00173913,0,0.611516071
Five,C,One,1114,800,Pos,Insertion_forward,10452,0,0,0,0,1,0.001510574,0,0.611516071
Five,C,One,1206,2811,Pos,Deletion_forward,8533,0,0,0,0,1,0.000961538,0,0.611516071
Five,C,One,1274,1159,Pos,Insertion_forward,10253,0,0,0,0,1,0.000679348,0,0.611516071
Five,C,One,130,7549,Pos,Deletion_forward,2719,0,0,0,0,1,0.000603865,0,0.611516071
Five,C,One,1325,2090,Pos,Deletion_forward,9373,0,0,0,0,1,0.000522193,0,0.611516071
Five,C,One,1335,2394,Pos,Deletion_forward,9079,0,0,0,0,1,0.000507614,0,0.611516071
Five,C,One,1341,772,Pos,Insertion_forward,10707,0,0,0,0,1,0.000541126,0,0.611516071
Five,C,One,1345,4653,Pos,Deletion_forward,6830,0,0,0,0,1,0.000613497,0,0.611516071
Five,C,One,1345,7353,Pos,Deletion_forward,4130,0,0,0,0,1,0.000613497,0,0.611516071
Five,C,One,1386,9517,Pos,Deletion_forward,2007,0,0,0,0,1,0.000582751,0,0.611516071
Five,C,One,1429,1404,Pos,Insertion_forward,10163,0,0,0,0,1,0.000610874,0,0.611516071
Five,C,One,1429,9257,Pos,Deletion_forward,2310,0,0,0,0,1,0.000610874,0,0.611516071
Five,C,One,1432,1407,Pos,Insertion_forward,10163,0,0,0,0,1,0.00062383,0,0.611516071
Five,C,One,1486,5054,Pos,Deletion_forward,6570,0,0,0,0,1,0.000530504,0,0.611516071
Five,C,One,1527,5651,Pos,Deletion_forward,6014,0,0,0,0,1,0.000514668,0,0.611516071
Five,C,One,1556,5394,Pos,Deletion_forward,6300,0,0,0,0,1,0.000534474,0,0.611516071
Five,C,One,1556,9383,Pos,Deletion_forward,2311,0,0,0,0,1,0.000534474,0,0.611516071
Five,C,One,1574,2748,Pos,Deletion_forward,8964,0,0,0,0,1,0.000557724,0,0.611516071
Five,C,One,1588,4615,Pos,Deletion_forward,7111,0,0,0,0,1,0.000574053,0,0.611516071
Five,C,One,1593,9571,Pos,Deletion_forward,2160,0,0,0,0,1,0.000567859,0,0.611516071
Five,C,One,1603,4546,Pos,Deletion_forward,7195,0,0,0,0,1,0.000749625,0,0.611516071
Five,C,One,1610,8377,Pos,Deletion_forward,3371,0,0,0,0,1,0.000719424,0,0.611516071
Five,C,One,1705,4885,Pos,Deletion_forward,6958,0,0,0,0,1,0.000806452,0,0.611516071
Five,C,One,1705,5884,Pos,Deletion_forward,5959,0,0,0,0,1,0.000806452,0,0.611516071
Five,C,One,1718,4345,Pos,Deletion_forward,7511,0,0,0,0,1,0.000880282,0,0.611516071
Five,C,One,1796,2162,Pos,Deletion_forward,9772,0,0,0,0,1,0.000637755,0,0.611516071
Five,C,One,1810,1666,Pos,Insertion_forward,10282,0,0,0,0,1,0.000552181,0,0.611516071
Five,C,One,1816,3569,Pos,Deletion_forward,8385,0,0,0,0,1,0.000549451,0,0.611516071
Five,C,One,1908,1827,Pos,Insertion_forward,10219,0,0,0,0,1,0.00057971,0,0.611516071
Five,C,One,1958,5561,Pos,Deletion_forward,6535,0,0,0,0,1,0.000541712,0,0.611516071
Five,C,One,1964,7391,Pos,Deletion_forward,4711,0,0,0,0,1,0.000540249,0,0.611516071
Five,C,One,1972,7745,Pos,Deletion_forward,4365,0,0,0,0,1,0.000578369,0,0.611516071
