lineage,sense,BP,RI,DVG_type,read_counts_virema,read_counts_ditector,pBP_virema,pRI_virema,pBP_ditector,pRI_ditector,rpht_virema,rpht_ditector,length_dvg,p(real),strain,rep,program
L,pos,2334,2334,Insertion_forward,1,0,0.000744602,0.000744602,0,0.000725689,1.253839885,0,10137,0.905159492,A,6,virema
M,pos,9428,9430,Deletion_forward,1,0,0.00075188,0.000747384,0,0.000746269,0.635291726,0,10136,0.659980605,B,4,virema
C,pos,3649,6728,Deletion_forward,0,1,0,0,0.001262626,0,0,1.088222171438521,7059,0.5005473786456808,B,2,ditector
C,pos,5228,6365,Deletion_forward,0,1,0,0,0.000635728,0,0,1.1592590016461477,9000,0.5113731251077882,A,3,ditector
C,pos,7170,6014,Insertion_forward,0,1,0,0,0.001470588,0,0,1.1690300557627336,11294,0.5061384564943063,B,3,ditector
E,pos,6078,6081,Deletion_forward,0,1,0,0,0.001184834,0,0,1.465179997362676,10134,0.5029191359005745,A,2,ditector
E,pos,5023,833,Insertion_forward,0,1,0,0,0.000796813,0,0,1.410775503294161,14328,0.5046804312360123,B,2,ditector
E,pos,8729,8192,Insertion_forward,0,1,0,0,0.001865672,0,0,1.410775503294161,10675,0.5169478540185605,B,2,ditector
E,pos,963,813,Insertion_forward,0,1,0,0,0.001092896,0,0,1.410775503294161,10288,0.5216898771612175,B,2,ditector
J,pos,2044,1913,Insertion_forward,0,1,0,0,0.000565291,0,0,0.7415592023789219,10269,0.5113416084618364,B,1,ditector
J,pos,2671,6441,Deletion_forward,0,1,0,0,0.001321004,0,0,0.7415592023789219,6368,0.5719512526698177,B,1,ditector
J,pos,5197,5072,Insertion_forward,0,1,0,0,0.000343525,0,0,0.7415592023789219,10263,0.5216898771612175,B,1,ditector
J,pos,8334,8126,Insertion_forward,0,1,0,0,0.00069735,0,0,0.7415592023789219,10346,0.5013234255498392,B,1,ditector
J,pos,8342,8341,Insertion_forward,0,1,0,0,0.00069979,0,0,0.7415592023789219,10139,0.5222583272583406,B,1,ditector
J,pos,8345,8341,Insertion_forward,0,1,0,0,0.000701262,0,0,0.7415592023789219,10142,0.5183270926506278,B,1,ditector
J,pos,7280,4833,Insertion_forward,0,1,0,0,0.000587889,0,0,0.9413891137762884,12585,0.5005473786456808,B,2,ditector
J,pos,7221,8462,Deletion_forward,0,1,0,0,0.000615764,0,0,0.7149444845607739,8896,0.5130361249253882,A,3,ditector
